Scientific_name,Family,Status,Group,Common_name,Type,Specie_ID,Country
Obovaria retusa,,"Experimental Population, Non-Essential",Clams,Ring pink (mussel),Animal,USA
Astragalus applegatei,Fabaceae,Endangered,Flowering Plants,Applegate's milk-vetch,Plant,https://ecos.fws.gov//ecp/species/5497,
Leavenworthia exigua laciniata,Brassicaceae,Threatened,Flowering Plants,Kentucky glade cress,Plant,https://ecos.fws.gov//ecp/species/698,USA
Purshia (=Cowania) subintegra,Rosaceae,Endangered,Flowering Plants,Arizona Cliffrose,Plant,https://ecos.fws.gov//ecp/species/866,
Etheostoma boschungi,,Threatened,Fishes,Slackwater darter,Animal,https://ecos.fws.gov//ecp/species/8058,
Gila boraxobius,,Endangered,Fishes,Borax Lake chub,Animal,https://ecos.fws.gov//ecp/species/6209,USA
Himantopus mexicanus knudseni,,Endangered,Birds,Hawaiian stilt,Animal,https://ecos.fws.gov//ecp/species/2082,
Odocoileus virginianus clavium,,Endangered,Mammals,Key deer,Animal,https://ecos.fws.gov//ecp/species/6326,
Pleurobema perovatum,,Endangered,Clams,Ovate clubshell,Animal,https://ecos.fws.gov//ecp/species/5430,
Asplenium unisorum,Aspleniaceae,Endangered,Ferns and Allies,No common name,Plant,https://ecos.fws.gov//ecp/species/8461,USA
Numenius tenuirostris,,Endangered,Birds,Slender-billed curlew,Animal,https://ecos.fws.gov//ecp/species/7621,
Castilleja mollis,Scrophulariaceae,Endangered,Flowering Plants,Soft-leaved paintbrush,Plant,https://ecos.fws.gov//ecp/species/5312,
Cyrtandra sessilis,Gesneriaceae,Endangered,Flowering Plants,Ha`iwale,Plant,https://ecos.fws.gov//ecp/species/3591,USA
Euphorbia remyi var. kauaiensis,Euphorbiaceae,Endangered,Flowering Plants,`Akoko,Plant,https://ecos.fws.gov//ecp/species/2643,USA
Eryngium aristulatum var. parishii,Apiaceae,Endangered,Flowering Plants,San Diego button-celery,Plant,https://ecos.fws.gov//ecp/species/5937,
Alcelaphus buselaphus tora,,Endangered,Mammals,Tora hartebeest,Animal,https://ecos.fws.gov//ecp/species/620,
Ateles geoffroyl panamensis,,Endangered,Mammals,Spider monkey,Animal,https://ecos.fws.gov//ecp/species/6327,
Clarkia speciosa ssp. immaculata,Onagraceae,Endangered,Flowering Plants,Pismo clarkia,Plant,https://ecos.fws.gov//ecp/species/5936,
Kokia cookei,Malvaceae,Endangered,Flowering Plants,Cooke's koki`o,Plant,https://ecos.fws.gov//ecp/species/2459,USA
Nototrichium humile,Amaranthaceae,Endangered,Flowering Plants,Kulu`i,Plant,https://ecos.fws.gov//ecp/species/1001,USA
Calyptridium pulchellum,Portulacaceae,Threatened,Flowering Plants,Mariposa pussypaws,Plant,https://ecos.fws.gov//ecp/species/2695,
Harperocallis flava,Liliaceae,Endangered,Flowering Plants,Harper's beauty,Plant,https://ecos.fws.gov//ecp/species/3735,
Ischaemum byrone,Poaceae,Endangered,Flowering Plants,Hilo ischaemum,Plant,https://ecos.fws.gov//ecp/species/3903,USA
Gammarus desperatus,,Endangered,Crustaceans,Noel's Amphipod,Animal,https://ecos.fws.gov//ecp/species/8042,USA
Medionidus simpsonianus,,Endangered,Clams,Ochlockonee moccasinshell,Animal,https://ecos.fws.gov//ecp/species/8083,
Anodorhynchus glaucus,,Endangered,Birds,Glaucous macaw,Animal,https://ecos.fws.gov//ecp/species/8254,
Branchinecta sandiegonensis,,Endangered,Crustaceans,San Diego fairy shrimp,Animal,https://ecos.fws.gov//ecp/species/6945,USA
Callaeas cinerea,,Endangered,Birds,Kokako (wattlebird),Animal,https://ecos.fws.gov//ecp/species/7953,
Chelonia mydas,,Threatened,Reptiles,Green sea turtle,Animal,https://ecos.fws.gov//ecp/species/6199,
Cumberlandia monodonta,,Endangered,Clams,Spectaclecase (mussel),Animal,https://ecos.fws.gov//ecp/species/7867,
Eudyptes sclateri,,Threatened,Birds,erect-crested penguin,Animal,https://ecos.fws.gov//ecp/species/1467,
Geopsittacus occidentalis,,Endangered,Birds,Night (=Australian) parrot,Animal,https://ecos.fws.gov//ecp/species/3,
Bettongia gaimardi,,Endangered,Mammals,Gaimard's rat-kangaroo,Animal,https://ecos.fws.gov//ecp/species/6619,
Cyanoramphus auriceps forbesi,,Endangered,Birds,Forbes' parakeet,Animal,https://ecos.fws.gov//ecp/species/1921,
Amazona arausiaca,,Endangered,Birds,Red-necked parrot,Animal,https://ecos.fws.gov//ecp/species/435,
Salvelinus confluentus,,Threatened,Fishes,Bull Trout,Animal,https://ecos.fws.gov//ecp/species/8212,USA
Ambystoma californiense,,Threatened,Amphibians,California tiger Salamander,Animal,https://ecos.fws.gov//ecp/species/2076,USA
Medionidus acutissimus,,Threatened,Clams,Alabama moccasinshell,Animal,https://ecos.fws.gov//ecp/species/7287,
Cucurbita okeechobeensis ssp. okeechobeensis,Cucurbitaceae,Endangered,Flowering Plants,Okeechobee gourd,Plant,https://ecos.fws.gov//ecp/species/5999,
Rhinopithecus brelichi,,Endangered,Mammals,Guizhou snub-nosed monkey,Animal,https://ecos.fws.gov//ecp/species/6596,
Trifolium amoenum,Fabaceae,Endangered,Flowering Plants,Showy Indian clover,Plant,https://ecos.fws.gov//ecp/species/6459,
Acropora cervicornis,,Threatened,Corals,Staghorn coral,Animal,https://ecos.fws.gov//ecp/species/8929,
Dipodomys heermanni morroensis,,Endangered,Mammals,Morro Bay kangaroo rat,Animal,https://ecos.fws.gov//ecp/species/6367,
Dromus dromas,,Endangered,Clams,Dromedary pearlymussel,Animal,https://ecos.fws.gov//ecp/species/6377,
Orcuttia californica,Poaceae,Endangered,Flowering Plants,California Orcutt grass,Plant,https://ecos.fws.gov//ecp/species/4923,
Sidalcea keckii,Malvaceae,Endangered,Flowering Plants,Keck's Checker-mallow,Plant,https://ecos.fws.gov//ecp/species/5704,USA
Cyanea copelandii ssp. copelandii,Campanulaceae,Endangered,Flowering Plants,Haha,Plant,https://ecos.fws.gov//ecp/species/5832,
Delissea rhytidosperma,Campanulaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/1452,USA
Schiedea viscosa,Caryophyllaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/4349,
Acipenser oxyrinchus oxyrinchus,,Endangered,Fishes,Atlantic sturgeon,Animal,https://ecos.fws.gov//ecp/species/3252,
Pteronura brasiliensis,,Endangered,Mammals,Giant otter,Animal,https://ecos.fws.gov//ecp/species/5720,
Telespyza ultima,,Endangered,Birds,Nihoa finch (honeycreeper),Animal,https://ecos.fws.gov//ecp/species/3066,
Erimystax cahni,,"Experimental Population, Non-Essential",Fishes,Slender chub,Animal,USA
Lipotes vexillifer,,Endangered,Mammals,Chinese River Dolphin,Animal,https://ecos.fws.gov//ecp/species/618,
Gilia tenuiflora ssp. hoffmannii,Polemoniaceae,Endangered,Flowering Plants,Hoffmann's slender-flowered gilia,Plant,https://ecos.fws.gov//ecp/species/968,
Pritchardia bakeri,Arecaceae,Endangered,Flowering Plants,Baker''s Loulu,Plant,https://ecos.fws.gov//ecp/species/9615,
Phelsuma edwardnewtoni,,Endangered,Reptiles,Day gecko,Animal,https://ecos.fws.gov//ecp/species/1238,
Noturus baileyi,,Endangered,Fishes,Smoky madtom,Animal,https://ecos.fws.gov//ecp/species/8211,
Euphorbia remyi var. remyi,Euphorbiaceae,Endangered,Flowering Plants,`Akoko,Plant,https://ecos.fws.gov//ecp/species/6388,USA
Strigops habroptilus,,Endangered,Birds,Kakapo,Animal,https://ecos.fws.gov//ecp/species/7263,
Cercocarpus traskiae,Rosaceae,Endangered,Flowering Plants,Catalina Island mountain-mahogany,Plant,https://ecos.fws.gov//ecp/species/5671,
Deinandra increscens ssp. villosa,Asteraceae,Endangered,Flowering Plants,Gaviota Tarplant,Plant,https://ecos.fws.gov//ecp/species/4218,USA
Tuctoria mucronata,Poaceae,Endangered,Flowering Plants,Solano grass,Plant,https://ecos.fws.gov//ecp/species/8302,USA
Ameiva polops,,Endangered,Reptiles,St. Croix ground lizard,Animal,https://ecos.fws.gov//ecp/species/5154,USA
Papilio homerus,,Endangered,Insects,Homerus swallowtail butterfly,Animal,https://ecos.fws.gov//ecp/species/7563,
Pentalagus furnessi,,Endangered,Mammals,Ryukyu rabbit,Animal,https://ecos.fws.gov//ecp/species/5124,
Pseudemys alabamensis,,Endangered,Reptiles,Alabama red-bellied turtle,Animal,https://ecos.fws.gov//ecp/species/1494,
Myrmecobius fasciatus,,Endangered,Mammals,Numbat,Animal,https://ecos.fws.gov//ecp/species/5118,
Odontophorus strophium,,Endangered,Birds,Gorgeted wood-quail,Animal,https://ecos.fws.gov//ecp/species/5954,
Acrocephalus familiaris kingi,,Endangered,Birds,Nihoa millerbird (old world warbler),Animal,https://ecos.fws.gov//ecp/species/5942,
Leavenworthia texana,Brassicaceae,Endangered,Flowering Plants,Texas golden Gladecress,Plant,https://ecos.fws.gov//ecp/species/8339,USA
Odocoileus virginianus leucurus,,Threatened,Mammals,Columbian white-tailed deer,Animal,https://ecos.fws.gov//ecp/species/154,
Peromyscus polionotus peninsularis,,Endangered,Mammals,St. Andrew beach mouse,Animal,https://ecos.fws.gov//ecp/species/4111,
Foudia rubra,,Endangered,Birds,Mauritius fody,Animal,https://ecos.fws.gov//ecp/species/437,
Myadestes myadestinus,,Endangered,Birds,Large Kauai (=kamao) Thrush,Animal,https://ecos.fws.gov//ecp/species/4104,
Phyllostegia velutina,Lamiaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/6699,USA
Leptasthenura xenothorax,,Endangered,Birds,White-browed tit-spinetail,Animal,https://ecos.fws.gov//ecp/species/2976,
Alectryon macrococcus,Sapindaceae,Endangered,Flowering Plants,Mahoe,Plant,https://ecos.fws.gov//ecp/species/2446,USA
Schiedea spergulina var. spergulina,Caryophyllaceae,Threatened,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/282,USA
Osteolaemus tetraspis osborni,,Endangered,Reptiles,Congo dwarf crocodile,Animal,https://ecos.fws.gov//ecp/species/2422,
Pleurobema decisum,,Endangered,Clams,Southern clubshell,Animal,https://ecos.fws.gov//ecp/species/6113,
Ischnura luta,,Endangered,Insects,Rota blue damselfly,Animal,https://ecos.fws.gov//ecp/species/3087,
Sideroxylon reclinatum ssp. austrofloridense,Sapotaceae,Threatened,Flowering Plants,Everglades bully,Plant,https://ecos.fws.gov//ecp/species/4735,
Cervus nippon grassianus,,Endangered,Mammals,Shansi sika deer,Animal,https://ecos.fws.gov//ecp/species/3920,
Poa atropurpurea,Poaceae,Endangered,Flowering Plants,San Bernardino bluegrass,Plant,https://ecos.fws.gov//ecp/species/4641,USA
Tetramolopium remyi,Asteraceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/1173,USA
Goetzea elegans,Solanaceae,Endangered,Flowering Plants,Beautiful goetzea,Plant,https://ecos.fws.gov//ecp/species/6453,
Osmoxylon mariannense,Araliaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/6738,
Felis nigripes,,Endangered,Mammals,Black-footed cat,Animal,https://ecos.fws.gov//ecp/species/3239,
Notropis girardi,,Threatened,Fishes,Arkansas River shiner,Animal,https://ecos.fws.gov//ecp/species/4364,USA
Rhinichthys osculus ssp.,,Threatened,Fishes,Foskett speckled dace,Animal,https://ecos.fws.gov//ecp/species/6519,
Streptopelia picturata rostrata,,Endangered,Birds,Seychelles turtle dove,Animal,https://ecos.fws.gov//ecp/species/4487,
Schiedea nuttallii,Caryophyllaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/7801,USA
Pacifastacus fortis,,Endangered,Crustaceans,Shasta crayfish,Animal,https://ecos.fws.gov//ecp/species/8284,
Phyllostegia mollis,Lamiaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/7230,USA
Sarracenia rubra ssp. alabamensis,Sarraceniaceae,Endangered,Flowering Plants,Alabama canebrake pitcher-plant,Plant,https://ecos.fws.gov//ecp/species/1846,
Cynomys parvidens,,Threatened,Mammals,Utah prairie dog,Animal,https://ecos.fws.gov//ecp/species/5517,
Acipenser mikadoi,,Endangered,Fishes,Sakhalin sturgeon,Animal,https://ecos.fws.gov//ecp/species/10377,
Gallicolumba stairi,,Endangered,Birds,Friendly Ground-Dove,Animal,https://ecos.fws.gov//ecp/species/7236,
Eryngium cuneifolium,Apiaceae,Endangered,Flowering Plants,Snakeroot,Plant,https://ecos.fws.gov//ecp/species/7487,
Chamaesyce deltoidea ssp. deltoidea,Euphorbiaceae,Endangered,Flowering Plants,Deltoid spurge,Plant,https://ecos.fws.gov//ecp/species/199,
Geocarpon minimum,Caryophyllaceae,Threatened,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/7699,
Triodopsis platysayoides,,Threatened,Snails,Flat-spired three-toothed Snail,Animal,https://ecos.fws.gov//ecp/species/464,
Margaritifera hembeli,,Threatened,Clams,Louisiana pearlshell,Animal,https://ecos.fws.gov//ecp/species/8468,
Aepyceros melampus petersi,,Endangered,Mammals,Black-faced impala,Animal,https://ecos.fws.gov//ecp/species/155,
Kinosternon sonoriense longifemorale,,Endangered,Reptiles,Sonoyta mud turtle,Animal,https://ecos.fws.gov//ecp/species/7276,
Marmota vancouverensis,,Endangered,Mammals,Vancouver Island marmot,Animal,https://ecos.fws.gov//ecp/species/6990,
Caprolagus hispidus,,Endangered,Mammals,Hispid hare,Animal,https://ecos.fws.gov//ecp/species/4052,
Fusconaia cuneolus,,Endangered,Clams,Finerayed pigtoe,Animal,https://ecos.fws.gov//ecp/species/3038,
Oncorhynchus keta,,Threatened,Fishes,Chum salmon,Animal,https://ecos.fws.gov//ecp/species/8494,
Phyllostegia racemosa,Lamiaceae,Endangered,Flowering Plants,Kiponapona,Plant,https://ecos.fws.gov//ecp/species/5226,USA
Drosophila musaphilia,,Endangered,Insects,Hawaiian picture-wing fly,Animal,https://ecos.fws.gov//ecp/species/6808,USA
Chorizanthe pungens var. pungens,Polygonaceae,Threatened,Flowering Plants,Monterey spineflower,Plant,https://ecos.fws.gov//ecp/species/396,USA
Trimerotropis infantilis,,Endangered,Insects,Zayante band-winged grasshopper,Animal,https://ecos.fws.gov//ecp/species/1036,USA
Thomomys mazama yelmensis,,Threatened,Mammals,Yelm pocket gopher,Animal,https://ecos.fws.gov//ecp/species/7257,USA
Addax nasomaculatus,,Endangered,Mammals,Addax,Animal,https://ecos.fws.gov//ecp/species/1486,
Catesbaea melanocarpa,Rubiaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/722,USA
Bubalus depressicornis,,Endangered,Mammals,Lowland anoa,Animal,https://ecos.fws.gov//ecp/species/1925,
Burramys parvus,,Endangered,Mammals,Mountain pygmy possum,Animal,https://ecos.fws.gov//ecp/species/1927,
Margaritifera marrianae,,Endangered,Clams,Alabama pearlshell,Animal,https://ecos.fws.gov//ecp/species/3961,
Megalagrion xanthomelas,,Endangered,Insects,Orangeblack Hawaiian damselfly,Animal,https://ecos.fws.gov//ecp/species/6224,
Alcelaphus buselaphus swaynei,,Endangered,Mammals,Swayne's hartebeest,Animal,https://ecos.fws.gov//ecp/species/2874,
Polyscias gymnocarpa,Araliaceae,Endangered,Flowering Plants,`Ohe`ohe,Plant,https://ecos.fws.gov//ecp/species/4551,USA
Schiedea stellarioides,Caryophyllaceae,Endangered,Flowering Plants,Laulihilihi,Plant,https://ecos.fws.gov//ecp/species/418,USA
Astragalus tricarinatus,Fabaceae,Endangered,Flowering Plants,Triple-ribbed milk-vetch,Plant,https://ecos.fws.gov//ecp/species/3370,
Clermontia peleana,Campanulaceae,Endangered,Flowering Plants,`Oha wai,Plant,https://ecos.fws.gov//ecp/species/849,USA
Etheostoma wapiti,,Endangered,Fishes,Boulder darter,Animal,https://ecos.fws.gov//ecp/species/5398,
Typhlomolge rathbuni,,Endangered,Amphibians,Texas blind salamander,Animal,https://ecos.fws.gov//ecp/species/5130,
Cyprinella caerulea,,Threatened,Fishes,Blue shiner,Animal,https://ecos.fws.gov//ecp/species/463,
Berberis nevinii,Berberidaceae,Endangered,Flowering Plants,Nevin's barberry,Plant,https://ecos.fws.gov//ecp/species/8025,USA
Gila seminuda (=robusta),,Endangered,Fishes,Virgin River Chub,Animal,https://ecos.fws.gov//ecp/species/1772,USA
Leopardus (=Felis) tigrinus,,Endangered,Mammals,Tiger cat,Animal,https://ecos.fws.gov//ecp/species/1479,
Oncorhynchus (=Salmo) mykiss,,Threatened,Fishes,Steelhead,Animal,https://ecos.fws.gov//ecp/species/1007,
Apios priceana,Fabaceae,Threatened,Flowering Plants,Price's potato-bean,Plant,https://ecos.fws.gov//ecp/species/7422,
Vulpes macrotis mutica,,Endangered,Mammals,San Joaquin kit fox,Animal,https://ecos.fws.gov//ecp/species/2873,
Bison bison athabascae,,Threatened,Mammals,Wood Bison,Animal,https://ecos.fws.gov//ecp/species/8362,
Lipochaeta waimeaensis,Asteraceae,Endangered,Flowering Plants,Nehe,Plant,https://ecos.fws.gov//ecp/species/4713,USA
Cyanea grimesiana ssp. obatae,Campanulaceae,Endangered,Flowering Plants,Haha,Plant,https://ecos.fws.gov//ecp/species/1349,USA
Nipponia nippon,,Endangered,Birds,Japanese crested ibis,Animal,https://ecos.fws.gov//ecp/species/1758,
Pitta kochi,,Endangered,Birds,Koch's pitta,Animal,https://ecos.fws.gov//ecp/species/6036,
Pleuronaia dolabelloides,,Endangered,Clams,Slabside Pearlymussel,Animal,https://ecos.fws.gov//ecp/species/1518,
Pteropus mariannus mariannus,,Threatened,Mammals,Mariana fruit Bat (=Mariana flying fox),Animal,https://ecos.fws.gov//ecp/species/2415,USA
Conolophus pallidus,,Endangered,Reptiles,Barrington land iguana,Animal,https://ecos.fws.gov//ecp/species/1934,
Erimystax cahni,,Threatened,Fishes,Slender chub,Animal,https://ecos.fws.gov//ecp/species/6637,
Harpia harpyja,,Endangered,Birds,Harpy eagle,Animal,https://ecos.fws.gov//ecp/species/4743,
Carex albida,Cyperaceae,Endangered,Flowering Plants,White sedge,Plant,https://ecos.fws.gov//ecp/species/3063,
Cyanea horrida,Campanulaceae,Endangered,Flowering Plants,haha nui,Plant,https://ecos.fws.gov//ecp/species/9238,USA
Dubautia pauciflorula,Asteraceae,Endangered,Flowering Plants,Na`ena`e,Plant,https://ecos.fws.gov//ecp/species/8338,USA
Erigeron rhizomatus,Asteraceae,Threatened,Flowering Plants,Zuni fleabane,Plant,https://ecos.fws.gov//ecp/species/5700,
Atrichornis clamosus,,Endangered,Birds,Noisy scrub-bird,Animal,https://ecos.fws.gov//ecp/species/4613,
Grus leucogeranus,,Endangered,Birds,Siberian white Crane,Animal,https://ecos.fws.gov//ecp/species/5713,
Oncorhynchus (=Salmo) mykiss,,Threatened,Fishes,Steelhead,Animal,https://ecos.fws.gov//ecp/species/1007,
Succinea chittenangoensis,,Threatened,Snails,Chittenango ovate amber snail,Animal,https://ecos.fws.gov//ecp/species/1776,
Antilocapra americana sonoriensis,,"Experimental Population, Non-Essential",Mammals,Sonoran pronghorn,Animal,USA
Osteolaemus tetraspis tetraspis,,Endangered,Reptiles,African dwarf crocodile,Animal,https://ecos.fws.gov//ecp/species/7629,
Cyclura rileyi rileyi,,Endangered,Reptiles,Watling Island ground iguana,Animal,https://ecos.fws.gov//ecp/species/3956,
Thysanocarpus conchuliferus,Brassicaceae,Endangered,Flowering Plants,Santa Cruz Island fringepod,Plant,https://ecos.fws.gov//ecp/species/7364,
Trifolium trichocalyx,Fabaceae,Endangered,Flowering Plants,Monterey clover,Plant,https://ecos.fws.gov//ecp/species/4282,
Catopuma (=Felis) temminckii,,Endangered,Mammals,Asian golden (=Temmnick's) cat,Animal,https://ecos.fws.gov//ecp/species/6620,
Amazona imperialis,,Endangered,Birds,Imperial parrot,Animal,https://ecos.fws.gov//ecp/species/5510,
Arcanator orostruthus,,Threatened,Birds,Dappled mountain robin,Animal,https://ecos.fws.gov//ecp/species/4964,
Verbena californica,Verbenaceae,Threatened,Flowering Plants,Red Hills vervain,Plant,https://ecos.fws.gov//ecp/species/7344,
Rallus owstoni,,Endangered,Birds,Guam rail,Animal,https://ecos.fws.gov//ecp/species/5112,
Nolina brittoniana,Agavaceae,Endangered,Flowering Plants,Britton's beargrass,Plant,https://ecos.fws.gov//ecp/species/4460,
Petroica traversi,,Endangered,Birds,Chatham Island robin,Animal,https://ecos.fws.gov//ecp/species/6971,
Scirpus ancistrochaetus,Cyperaceae,Endangered,Flowering Plants,Northeastern bulrush,Plant,https://ecos.fws.gov//ecp/species/6715,
Amazona leucocephala,,Endangered,Birds,Bahaman or Cuban parrot,Animal,https://ecos.fws.gov//ecp/species/3235,
Cyprinodon nevadensis mionectes,,Endangered,Fishes,Ash Meadows Amargosa pupfish,Animal,https://ecos.fws.gov//ecp/species/529,USA
Melicope saint-johnii,Rutaceae,Endangered,Flowering Plants,Alani,Plant,https://ecos.fws.gov//ecp/species/6153,USA
Schiedea adamantis,Caryophyllaceae,Endangered,Flowering Plants,Diamond Head schiedea,Plant,https://ecos.fws.gov//ecp/species/3608,
Brighamia rockii,Campanulaceae,Endangered,Flowering Plants,Pua `ala,Plant,https://ecos.fws.gov//ecp/species/8393,USA
Eugenia woodburyana,Myrtaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/8346,
Diomedia amsterdamensis,,Endangered,Birds,Amsterdam Albatross,Animal,https://ecos.fws.gov//ecp/species/7639,
Texella reddelli,,Endangered,Arachnids,Bee Creek Cave harvestman,Animal,https://ecos.fws.gov//ecp/species/2464,
Hedyotis megalantha,Rubiaceae,Endangered,Flowering Plants,Paudedo,Plant,https://ecos.fws.gov//ecp/species/9755,
Polyscias bisattenuata,Araliaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/97,USA
Panthera pardus,,Threatened,Mammals,Leopard,Animal,https://ecos.fws.gov//ecp/species/156,
Pleurobema clava,,Endangered,Clams,Clubshell,Animal,https://ecos.fws.gov//ecp/species/3789,
Discoglossus nigriventer,,Endangered,Amphibians,Israel painted frog,Animal,https://ecos.fws.gov//ecp/species/1242,
Xyrauchen texanus,,Endangered,Fishes,Razorback sucker,Animal,https://ecos.fws.gov//ecp/species/530,USA
Ambrosia cheiranthifolia,Asteraceae,Endangered,Flowering Plants,South Texas ambrosia,Plant,https://ecos.fws.gov//ecp/species/3331,
Callirhoe scabriuscula,Malvaceae,Endangered,Flowering Plants,Texas poppy-mallow,Plant,https://ecos.fws.gov//ecp/species/5808,
Acropora rudis,,Threatened,Corals,No common name,Animal,https://ecos.fws.gov//ecp/species/9321,
Papasula (=Sula) abbotti,,Endangered,Birds,Abbott's booby,Animal,https://ecos.fws.gov//ecp/species/1470,
Thamnophis eques megalops,,Threatened,Reptiles,Northern Mexican gartersnake,Animal,https://ecos.fws.gov//ecp/species/7655,
Psittacula echo,,Endangered,Birds,Mauritius parakeet,Animal,https://ecos.fws.gov//ecp/species/8195,
Lepidomeda albivallis,,Endangered,Fishes,White River spinedace,Animal,https://ecos.fws.gov//ecp/species/6900,USA
Neraudia angulata,Urticaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/2750,USA
Zanthoxylum thomasianum,Rutaceae,Endangered,Flowering Plants,St. Thomas prickly-ash,Plant,https://ecos.fws.gov//ecp/species/102,
Consolea corallicola,Cactaceae,Endangered,Flowering Plants,Florida semaphore Cactus,Plant,https://ecos.fws.gov//ecp/species/4356,
Hemistena lata,,"Experimental Population, Non-Essential",Clams,Cracking pearlymussel,Animal,USA
Balaenoptera borealis,,Endangered,Mammals,Sei whale,Animal,https://ecos.fws.gov//ecp/species/4753,
Epicrates monensis monensis,,Threatened,Reptiles,Mona boa,Animal,https://ecos.fws.gov//ecp/species/5729,USA
Cyclosorus boydiae,Thelypteridaceae,Endangered,Ferns and Allies,Kupukupu makalii,Plant,https://ecos.fws.gov//ecp/species/4692,
Neraudia ovata,Urticaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/3669,USA
Cyclura cychlura cychlura,,Threatened,Reptiles,Andros Island ground iguana,Animal,https://ecos.fws.gov//ecp/species/4502,
Sidalcea oregana var. calva,Malvaceae,Endangered,Flowering Plants,Wenatchee Mountains checkermallow,Plant,https://ecos.fws.gov//ecp/species/7222,USA
Ovis musimon ophion,,Endangered,Mammals,Urial,Animal,https://ecos.fws.gov//ecp/species/1826,
Pionopsitta pileata,,Endangered,Birds,Red-capped parrot,Animal,https://ecos.fws.gov//ecp/species/631,
Erignathus barbatus nauticus,,Threatened,Mammals,bearded Seal,Animal,https://ecos.fws.gov//ecp/species/9381,
Streptanthus niger,Brassicaceae,Endangered,Flowering Plants,Tiburon jewelflower,Plant,https://ecos.fws.gov//ecp/species/4187,
Clematis socialis,Ranunculaceae,Endangered,Flowering Plants,Alabama leather flower,Plant,https://ecos.fws.gov//ecp/species/6300,
Eriodictyon capitatum,Hydrophyllaceae,Endangered,Flowering Plants,Lompoc yerba santa,Plant,https://ecos.fws.gov//ecp/species/364,USA
Lontra (=Lutra) felina,,Endangered,Mammals,Marine otter,Animal,https://ecos.fws.gov//ecp/species/2193,
Megalagrion oceanicum,,Endangered,Insects,Oceanic Hawaiian damselfly,Animal,https://ecos.fws.gov//ecp/species/663,USA
Rorippa gambellii,Brassicaceae,Endangered,Flowering Plants,Gambel's watercress,Plant,https://ecos.fws.gov//ecp/species/4201,
Taraxacum californicum,Asteraceae,Endangered,Flowering Plants,California taraxacum,Plant,https://ecos.fws.gov//ecp/species/7421,USA
Dasyornis longirostris (=brachypterus I.),,Endangered,Birds,Western bristlebird,Animal,https://ecos.fws.gov//ecp/species/2968,
Clermontia lindseyana,Campanulaceae,Endangered,Flowering Plants,`Oha wai,Plant,https://ecos.fws.gov//ecp/species/5493,USA
Eurycea chisholmensis,,Threatened,Amphibians,Salado Salamander,Animal,https://ecos.fws.gov//ecp/species/3411,USA
Coryphantha ramillosa,Cactaceae,Threatened,Flowering Plants,Bunched cory cactus,Plant,https://ecos.fws.gov//ecp/species/5810,
Cyanea stictophylla,Campanulaceae,Endangered,Flowering Plants,Haha,Plant,https://ecos.fws.gov//ecp/species/4068,USA
Pritchardia hardyi,Asteraceae,Endangered,Flowering Plants,Lo`ulu,Plant,https://ecos.fws.gov//ecp/species/1602,
Spiranthes delitescens,Orchidaceae,Endangered,Flowering Plants,Canelo Hills ladies-tresses,Plant,https://ecos.fws.gov//ecp/species/8098,
Liatris helleri,Asteraceae,Threatened,Flowering Plants,Heller's blazingstar,Plant,https://ecos.fws.gov//ecp/species/5962,
Polygala smallii,Polygalaceae,Endangered,Flowering Plants,Tiny polygala,Plant,https://ecos.fws.gov//ecp/species/996,
Prunus geniculata,Rosaceae,Endangered,Flowering Plants,Scrub plum,Plant,https://ecos.fws.gov//ecp/species/2238,
Canavalia napaliensis,Fabaceae,Endangered,Flowering Plants,`Awikiwiki,Plant,https://ecos.fws.gov//ecp/species/1325,USA
Leptailurus (=Felis) serval constantina,,Endangered,Mammals,Barbary serval,Animal,https://ecos.fws.gov//ecp/species/5950,
Bos javanicus,,Endangered,Mammals,Banteng,Animal,https://ecos.fws.gov//ecp/species/439,
Eriogonum kennedyi var. austromontanum,Polygonaceae,Threatened,Flowering Plants,Southern mountain wild-buckwheat,Plant,https://ecos.fws.gov//ecp/species/7201,USA
Phyllostegia glabra var. lanaiensis,Lamiaceae,Endangered,Flowering Plants,No common name,Plant,https://ecos.fws.gov//ecp/species/7438,
Tringa guttifer,,Endangered,Birds,Nordmann's greenshank,Animal,https://ecos.fws.gov//ecp/species/434,
